region,total_work_region,men,women,germans,foreigners,15_to_25_years,25_to_55_years,55_to_65_years,without_professional_qualification,with_professional_qualification,with_academic_degree,total_home_region
"Kaufbeuren, Stadt",3136.1958762886597,3377.1187050359713,2797.0625,3262.715909090909,2344.730769230769,2505.5,3233.7,3350.5,1934.09375,3163.2697841726617,4718.833333333333,3184.5561224489797
"Kempten (Allgäu), Stadt",3271.125,3540.7412280701756,2842.8497267759562,3405.3333333333335,2275.5,2406.632075471698,3355.0627376425855,3614.09649122807,2208,3235.4122807017543,4472.027777777777,3216.4407665505228
"Memmingen, Stadt",3382.1176470588234,3641.931924882629,2860.8535353535353,3552.909638554217,2551.8888888888887,2547.756097560976,3480.1341463414633,3684.296296296296,2457.551282051282,3435.55859375,5240.5,3233.2008928571427
Aichach-Friedberg,3055.769058295964,3210.6331360946747,2647.318181818182,3146.291457286432,2676.5416666666665,2508.8333333333335,3127.6710526315787,3223.7758620689656,2620.2115384615386,3077.9147727272725,4377.5,3571.2343412527
Augsburg,3030.0086393088554,3159.5,2711.8636363636365,3229.787598944591,2475.0387453874537,2458.2651515151515,3089.4119601328903,3267.5833333333335,2481.5,3095.936507936508,4671.430232558139,3521.351177730193
Dillingen a.d.Donau,3257.041450777202,3423.678137651822,2784.8023255813955,3382.086402266289,2543.1767676767677,2620.598039215686,3325.417218543046,3499.824324324324,2645.2368421052633,3299.40625,5085.222222222223,3432.302721088435
Günzburg,3192.0184678522573,3303.612244897959,2836.018292682927,3330.9715302491104,2554.4719626168226,2552.7988505747126,3247.7554890219562,3418.1136363636365,2526.8888888888887,3204.1952554744526,4913.961538461538,3278.70324005891
Neu-Ulm,3510.8159851301116,3812.9358974358975,2893.9272300469484,3673.735294117647,2648.2272727272725,2662.7340425531916,3565.1511627906975,3862.8333333333335,2712.780701754386,3507.560185185185,5288.735294117647,3546.709800918836
Lindau (Bodensee),3432.4277108433735,3775.625,2802.344262295082,3567.7619047619046,2780.401960784314,2499.1111111111113,3555.087155963303,3509.551724137931,2566.0172413793102,3326.590909090909,5670.598039215686,3367.5648464163824
Ostallgäu,3346.0882352941176,3595.0625,2616.765060240964,3471.3244111349036,2571.0729166666665,2660.1938775510203,3432.68085106383,3544.0393258426966,2714.5243902439024,3352.458525345622,5208.5,3410.11887477314
Unterallgäu,3422.375,3627.9157303370785,2727.1778523489934,3550.2137404580153,2660.453703703704,2787.5689655172414,3525.923728813559,3511.638613861386,2641.5377358490564,3446.35,5224.071428571428,3419.4006024096384
Donau-Ries,3457.5480928689885,3707.151376146789,2854.4267015706805,3570.9623287671234,2549.228813559322,2671.8917525773195,3559.6814159292035,3636.0140186915887,2579.9871794871797,3443.2543186180424,6007.117647058823,3467.904006677796
Oberallgäu,3085.6090604026845,3318.9848484848485,2586.803191489362,3215.25,2379.169724770642,2533.3125,3159.775184275184,3265.6315789473683,2526.443396226415,3092.504048582996,4784.370967741936,3233.4239302694136
Regionalverband Saarbrücken,3518.2708638360177,3767.1968599033817,3161.900651465798,3643.345117845118,2516.0405405405404,2342.7566371681414,3534.9466600199403,3846.133187772926,2423,3472.640762463343,5025.177419354839,3378.896739130435
Merzig-Wadern,3082.148936170213,3254.417050691244,2774.5506329113923,3151.16765578635,2568.2631578947367,2420.8947368421054,3108.4198473282445,3288,2712.5,3076.9285714285716,4653.086206896552,3253.795128939828
Neunkirchen,3270.687165775401,3506.189655172414,2785.1456692913384,3332.367283950617,2449.8055555555557,2340.9411764705883,3270.0848375451264,3571.390410958904,2473.277777777778,3286.972602739726,4759.195652173913,3340.888655462185
Saarlouis,3289.735624123422,3487.234693877551,2832.0944881889764,3366.763650546022,2875.270642201835,2315.016129032258,3320.724171539961,3637.917218543046,2787.1161616161617,3347.5454545454545,4826.333333333333,3467.019823788546
Saarpfalz-Kreis,3553.4042386185242,3798.006082725061,3105.4492385786803,3618.2529182879375,3004.231343283582,2446.9285714285716,3564.7780172413795,3857.8630136986303,3036.6111111111113,3505.967289719626,5394.104651162791,3588.30737704918
St. Wendel,3206.4055118110236,3406.72009569378,2724.625874125874,3264.470588235294,2357.021739130435,2446.796296296296,3203.1737967914437,3528.909090909091,2538.3205128205127,3207.392523364486,4634.590909090909,3438.07225433526
"Berlin, Stadt",3242.2960866894796,3290.5951986754967,3191.3450109741684,3319.5027384755817,2571.9285714285716,2158.7169709989257,3266.5666740625693,3451.9781491002573,2278.531115879828,2982.966991792554,4557.198440207972,3222.0722987817057
"Brandenburg an der Havel, St.",2853.0862068965516,2870.58547008547,2836.6570247933882,2869.25,X,2229.6666666666665,2868.1315789473683,2926.095238095238,X,2757.719827586207,4418.208333333333,2752.9131274131273
"Cottbus, Stadt",2739.3403990024935,2556.321917808219,2961.6111111111113,2788.223214285714,2010.9651162790697,1986.3333333333333,2655.8278688524592,3166.409090909091,1981.0555555555557,2512.8251748251746,4224.39705882353,2898.7723577235774
